Question1;Question2;Question3;Question4;Question5;Question6;Question7;Question8;House
Dusk;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Ask for more stories about your adventures;Black cat;The small pewter box, unassuming and plain, with a scratched message upon it that reads ‘I open only for the worthy.';An eye at the keyhole of the dark, windowless room in which you are locked.;The power to read minds;Left;Gryffindor
Forest;The power to change your appearance at will;Draw your wand and stand your ground?;The sea;Siamese cat;Glory?;Feared?;White;Slytherin
Dusk;Tabby cat;Trolls;Selfish;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;The piano;Ask what makes them think so?;Black;Slytherin
River;Loneliness;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Secrets about the castle;The Bold;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;Tabby cat;Right;Gryffindor
Dawn;The drum;Cold;Tawny owl;Hexes and jinxes;Volunteer to fight?;Selfish;Left;Gryffindor
River;Natterjack toad;Flying on a broomstick;Ask what makes them think so?;Power?;Being ignored;The statue of an old wizard with a strangely twinkling eye;Black;Slytherin
Stars;The bubbling pool, in the depths of which something luminous is swirling;The power to speak to animals;Cold;Ordinary;Draw your wand and stand your ground?;Tawny owl;White;Hufflepuff
Moon;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;Every area of magic I can;The twisting, leaf-strewn path through woods;Ginger cat;Think with admiration of your achievements;Right;Hufflepuff
Moon;The power to read minds;Trusted?;Snowy owl;Agree, and ask whether they'd like a free sample of a jinx?;Wisdom?;The fat red toadstools that appear to be talking to each other;Right;Hufflepuff
Dawn;Snowy owl;Power?;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;Loneliness;The narrow, dark, lantern-lit alley;Werewolves;White;Hufflepuff
River;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;Vampires;Loneliness;Black cat;Ask for more stories about your adventures;The piano;White;Slytherin
Dawn;Proceed with caution, keeping one hand on your concealed wand and an eye out for any disturbance?;Being ignored;All about magical creatures, and how to befriend/care for them;Ordinary;The bubbling pool, in the depths of which something luminous is swirling;Natterjack toad;Black;Slytherin
River;Trusted?;Home;Siamese cat;Agree, and ask whether they'd like a free sample of a jinx?;Wisdom?;The power to speak to animals;Right;Hufflepuff
Forest;The narrow, dark, lantern-lit alley;The violin;Selfish;Brown owl;Trolls;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Left;Slytherin
Forest;All about magical creatures, and how to befriend/care for them;The wide, sunny, grassy lane;Trusted?;Fresh parchment;Ginger cat;Ask for more stories about your adventures;Right;Gryffindor
River;First student records going back 1000 years. Then, a nearly perfected cure for dragon pox. Finally, a mysterious handwritten book full of strange runes.;The cobbled street lined with ancient buildings;The silver leafed tree bearing golden apples;Apparition and Disapparition (being able to materialize and dematerialize at will);Think with admiration of your achievements;Three toed tree toad;Right;Hufflepuff
River;Glory?;Hunger;Home;Screech owl;Goblins;Being forced to speak in such a silly voice that hardly anyone can   understand you, and everyone laughs at you.;Left;Ravenclaw
Stars;The Great;The power to read minds;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;The sea;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;Dragon toad;Tails;Slytherin
Dusk;The Wise;The smooth, thick, richly purple drink that gives off a delicious smell of chocolate and plums.;You would not wait to be asked to tell Professor Flitwick the truth.  If you knew that somebody was using a forbidden quill, you would tell the teacher before the exam started.;First, a mysterious handwritten book full of strange runes. Then a nearly perfected cure for dragon pox. Finally, student records going back 1000 years.;Dragon toad;The power of invisibility;Right;Hufflepuff
Stars;The Bold;Tawny owl;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Agree, and ask whether they'd like a free sample of a jinx?;The trumpet;Trolls;White;Hufflepuff
Dawn;Ordinary;Ginger cat;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;The fat red toadstools that appear to be talking to each other;Withdraw into the shadows to await developments, while mentally reviewing the most appropriate defensive and offensive spells, should trouble occur?;The power to read minds;White;Ravenclaw
Forest;Harlequin toad;Draw your wand and stand your ground?;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;The power to change the past;Glory?;Loneliness;Heads;Gryffindor
Stars;Dragon toad;Tell them that you are worried about their mental health, and offer to call a doctor.;Ghosts;Power?;The bubbling pool, in the depths of which something luminous is swirling;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;Left;Gryffindor
Dusk;The Great;Ginger cat;The narrow, dark, lantern-lit alley;Trolls;The silver leafed tree bearing golden apples;First,  a mysterious handwritten book full of strange runes. Then student records going back 1000 years. Finally, a nearly perfected cure for dragon pox. ;Left;Slytherin
Dusk;Boredom;The mysterious black liquid that gleams like ink, and gives off fumes that make you see strange visions.;Ignorant;Tabby cat;Volunteer to fight?;The power to change the past;Heads;Slytherin
Forest;First, a nearly perfected cure for dragon pox. Then a mysterious handwritten book full of strange runes. Finally, student records going back 1000 years.;I don't care what people think of me after I'm dead, it's what they think of me while I'm alive that counts;Standing on top of something very high and realizing suddenly that there are no hand- or footholds, nor any barrier to stop you falling.;Tabby cat;Centaurs;The foaming, frothing, silvery liquid that sparkles as though containing ground diamonds.;Left;Ravenclaw
Dusk;Glory?;First, student records going back 1000 years. Then a mysterious handwritten book full of strange runes. Finally, a nearly perfected cure for dragon pox.;Siamese cat;Vampires;Draw your wand and stand your ground?;The sea;Heads;Slytherin
Dawn;The power to change your appearance at will;Cowardly;Harlequin toad;The violin;Volunteer to fight?;Liked?;Heads;Gryffindor
Forest;Tell Professor Flitwick the truth.  If your classmate is prepared to win by cheating, he deserves to be found out.  Also, as you are both in the same house, any points he loses will be regained by you, for coming first in his place.;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;The Wise;Tawny owl;Cold;Werewolves;Tails;Ravenclaw
Moon;Volunteer to fight?;The gleaming jet black box with a silver lock and key, marked with a mysterious rune that you know to be the mark of Merlin.;White cat;Werewolves;Think with admiration of your achievements;Trusted?;Black;Gryffindor
Dusk;Screech owl;Boredom;Fresh parchment;Wisdom?;Waking up to find that neither your friends nor your family have any idea who you are.;Secrets about the castle;Left;Ravenclaw
Dawn;First, a nearly perfected cure for dragon pox. Then student records going back 1000 years. Finally, a mysterious handwritten book full of strange runes.;Agree, and ask whether they'd like a free sample of a jinx?;Harlequin toad;Ask for more stories about your adventures;The small tortoiseshell box, embellished with gold, inside which some small creature seems to be squeaking.;Secrets about the castle;Right;Gryffindor
